expr_str,reward,MSE,complexity
-0.114*q - 4.0*qdot + 0.354*tau + 0.06,0.9094299523128763,0.007848899,6
-2.189*qdot + 0.369*tau - 0.207*sign(qdot) + 0.034,0.9084389250246071,0.00067640137,7
(-2.183*qdot + 0.368*tau - 0.207*sign(qdot) + 0.034)*exp(0.018*q),0.8814629928736063,0.0006760616,10
0.011 + (5.845*qdot - 0.987*tau + 0.554*sign(qdot) - 0.06)/(0.095*qdot - 2.671),0.8726544186960905,0.0006756914,11
3.994 + (6.012*qdot - 1.029*tau + 0.583*sign(qdot) + 11.086)/(0.349*q**2 - 2.809),0.8656061690511899,0.0005762304,12
3.843 + (-8.798*qdot + 1.461*tau - 0.833*sign(qdot) - 15.15)/(-2.148*qdot + exp(2.181*qdot) + 2.956),0.8417611260945917,0.0004724903,15
0.514*qdot**2 + 0.009*qdot*tau + 0.277*qdot*sign(qdot) - 2.147*qdot + 0.369*tau - 0.212*sign(qdot) + 0.005,0.8251222225177224,0.00046647261,17
-0.0249280180000000,0.7074226758116557,0.17105012,0
