expr_str,reward,MSE,complexity
-2.189*qdot + 0.369*tau - 0.207*sign(qdot) + 0.033977309871522427,0.9084389270062392,0.00067640125,7
-4.03*qdot + 0.356*tau + 0.044,0.8821281583037636,0.007912617,4
(-2.183*qdot + 0.368*tau - 0.207*sign(qdot) + 0.034)*exp(0.018*q),0.8814629928736063,0.0006760616,10
0.37*qdot*sign(qdot) - 2.147*qdot + 0.369*tau - 0.212*sign(qdot) + 0.002,0.8763926197131445,0.00046732702,11
0.353*tau - 0.378*sign(qdot) + 0.024,0.874095429804227,0.0077388105,5
0.37*qdot*sign(qdot) + 0.369*tau - 1.255*sin(1.729*qdot) - 0.211*sign(qdot) + 0.002,0.8589841057193651,0.00046569842,13
-0.0249280180000000,0.7074226758116557,0.17105012,0
