expr_str,reward,MSE,complexity
-0.114*q - 4.0*qdot + 0.354*tau + 0.06,0.9094299523128763,0.007848899,6
-2.189*qdot + 0.369*tau - 0.207*sign(qdot) + 0.034,0.9084389250246071,0.00067640137,7
0.008 + (5.864*qdot - 0.99*tau + 0.556*sign(qdot) - 0.069)/(0.095*qdot - 2.68),0.8726544186960905,0.0006756914,11
4.356 + (6.143*qdot - 1.052*tau + 0.596*sign(qdot) + 12.368)/(0.33*q**2 - 2.871),0.8656075116824493,0.00057615415,12
6.578 + (5.904*qdot - 1.007*tau + 0.568*sign(qdot) + 17.853)/(-0.048*qdot*tau - 2.723),0.8570248328526847,0.00057195185,13
-0.0249280180000000,0.7074226758116557,0.17105012,0
