expr_str,reward,MSE,complexity
-0.114*q - 4.0*qdot + 0.354*tau + 0.06,0.9094299523128763,0.007848899,6
-2.189*qdot + 0.369*tau - 0.207*sign(qdot) + 0.034,0.9084389260154231,0.0006764013,7
0.37*qdot*sign(qdot) - 2.147*qdot + 0.369*tau - 0.212*sign(qdot) + 0.002,0.8763926197131445,0.00046732702,11
0.512*qdot**2 + 0.01*qdot*tau + 0.277*qdot*sign(qdot) - 2.147*qdot + 0.369*tau - 0.212*sign(qdot) + 0.005,0.8251222225177224,0.00046647261,17
-2.694 + (6.604*qdot - 0.982*tau + 0.521*sign(qdot) - 7.227)/(-0.215*qdot*cos(24.755*qdot) - 2.694*cos(1.314*qdot) + 0.024),0.8171126381075784,0.00045351402,18
-0.0249280180000000,0.7074226758116557,0.17105012,0
